,Category,keyword,title,price,stars,votes,index
0,Programming & Tech,Data Analysis & Reports,build automated and insightful power bi report,137.76,5,10,1
1,Lifestyle,Greeting Cards & Videos,get kermit to personalize a video birthday greeting and song,4.44,5,1k+,2
2,Programming & Tech,Website Builders & CMS,build or redesign your existing squarespace website,66.66,5,68,3
3,Lifestyle,Cooking Lessons,create original eastern food cooking video recipe,17.78,4.9,5,4
4,Writing & Translation,Legal Writing,write gdpr privacy policy and terms and conditions for your website or app,8.89,5,2,5
5,Writing & Translation,UX Writing,provide professional copywrite material for website content,4.44,nul,nul,6
6,Writing & Translation,Podcast Writing,write podcast content and stories,8.89,nul,nul,7
7,Writing & Translation,Email Copy,copywrite your customers favorite emails,31.11,5,57,8
8,Writing & Translation,Legal Writing,write a legal terms and gdpr privacy policy,48.88,5,309,9
9,Digital Marketing,Local SEO,do local SEO for your website,88.88,5,4,10
10,Programming & Tech,Website Builders & CMS,design and redesign wix website,133.32,4.9,305,11
11,Lifestyle,Celebrity Impersonators,record my impersonation sebastion maniscalco,8.89,5,11,12
12,Writing & Translation,Online Language LessonsNew,be your english teacher or english tutor for 60 minute,4.44,5,51,13
13,Video & Animation,Slideshows Videos,"create amazing photo, video slideshow with music",8.89,4.9,336,14
14,Writing & Translation,Product Descriptions,create outstanding amazon a plus enhanced brand content,31.11,5,57,15
15,Programming & Tech,Convert Files,"convert PDF to word, pdf to excel, copy paste, data entry",4.44,5,6,16
16,Lifestyle,Spiritual & Healing,cast king lucifer obsession lust spell to make exback fast,4.44,5,32,17
17,Lifestyle,Personal StylistsNew,be your personal stylist,22.22,5,19,18
18,Video & Animation,eLearning Video ProductionNew,edit your online course video,66.66,5,16,19
19,Video & Animation,Product Photography,produce unique recipes with food photography,13.33,5,9,20
20,Music & Audio,Podcast EditingNew,professionally do podcast editing,17.78,5,78,21
21,Video & Animation,Animation for Streamers,Our studio will do professional twitch or mixer overlay for your stream,222.19,4.8,8,22
22,Video & Animation,Screencasting Videos,do a screencast instructional or tutorial video in 24 hours,4.44,5,7,23
23,Lifestyle,Your Message On...,do happy birthday video song with a custom message,8.89,5,27,24
24,Writing & Translation,Podcast Writing,write worthy podcast episodes for you,13.33,4.8,6,25
25,Programming & Tech,User Testing,user test your website or app,31.11,5,75,26
26,Writing & Translation,Proofreading & Editing,provide book editing and proofreading,4.44,5,1k+,27
27,Video & Animation,Video Editing,do professional video editing and post production,44.44,5,1k+,28
28,Video & Animation,Local PhotographyBeta,high quality product photography,195.53,4.8,4,29
29,Digital Marketing,Domain Research,do you 5 valuable unique com domain names and complete keyword research report,4.44,5,1,30
30,Writing & Translation,Creative Writing,write an impeccable bio or biography,13.33,4.7,20,31
31,Lifestyle,Your Message On...,be your female model,8.89,4.9,6,32
32,Digital Marketing,E-Commerce Marketing,get amazon a plus content on your amazon listing,128.87,4.9,135,33
33,Writing & Translation,Transcripts,do a 30 minutes spanish transcription in 24 hours,4.44,4.9,45,34
34,Lifestyle,Celebrity Impersonators,say anything you want in a batman impression with video,4.44,5,1,35
35,Video & Animation,Video Editing,create a youtube top 10 list video,57.77,5,48,36
36,Writing & Translation,Website Content,write an engaging and SEO optimized web page,26.66,4.9,16,37
37,Lifestyle,Greeting Cards & Videos,make greeting video from donald trump for happy birthday or any holiday event,4.44,5,42,38
38,Digital Marketing,Web Traffic,send quality USA and eu traffic from 5k,44.44,5,119,39
39,Video & Animation,Animated GIFs,"animated GIF icon or banner for your website, app, social media",8.89,5,28,40
40,Writing & Translation,Grant Writing,"write winning grant proposal, sponsorship, nonprofit, 501c3",26.66,5,11,41
41,Video & Animation,3D Product Animation,render architectural realistic animation on lumion 10,26.66,5,8,42
42,Business,Business Plans,"business plans for loan, investor, bank, sba, proposal",22.22,5,22,43
43,Video & Animation,Game Trailers,made your own game trailer in game engines,17.78,nul,nul,44
44,Business,Lead Generation,give you 2020 verified cell number leads from USA,17.78,5,11,45
45,Programming & Tech,Web Programming,build web or mobile app in bubble or fix yours,106.65,5,13,46
46,Business,Legal Consulting,"provide music law and entertainment law, contracts and services",8.89,5,7,47
47,Business,HR ConsultingNew,assist in human resource management tasks,13.33,4.9,79,48
48,Programming & Tech,Chatbots,program you a discord bot,4.44,nul,nul,49
49,Lifestyle,Cooking Lessons,send exciting chinese keto recipes with pictures,22.22,5,2,50
50,Business,Project ManagementNew,test website and assure quality plus project management task,17.78,5,3,51
51,Writing & Translation,UX Writing,write clear and concise copy that is user friendly,35.55,5,5,52
